Course
Academic Enrichment 6th (96102Y0016)
Academic Enrichment 6th (96102Y0416)
Academic Enrichment 6th (96102Y0716)
Academic Enrichment 6th (96102Y0816)
Academic Enrichment 6th (96102Y0916)
Academic Enrichment 7th (96102Y0017)
Academic Enrichment 7th (96102Y0417)
Academic Enrichment 7th (96102Y0717)
Academic Enrichment 7th (96102Y0817)
Academic Enrichment 7th (96102Y0917)
Academic Enrichment 8th (96102Y0018)
Academic Enrichment 8th (96102Y0418)
Academic Enrichment 8th (96102Y0718)
Academic Enrichment 8th (96102Y0818)
Academic Enrichment 8th (96102Y0918)
Acoustic Guitar (Beginning) (52162X0802)
Acoustic Guitar (Intermediate) (52172X0802)
ACT Prep (96072X0000)
Adapted PE Grade 1 (60212Z0801)
Adapted PE Grade 2 (60222Z0801)
Adapted PE Grade 3 (60232Z0801)
Adapted PE Grade 4 (60242Z0801)
Adapted PE Grade 5 (60252Z0801)
Adapted PE Grade 6 (60262Y0001)
Adapted PE Grade 6 (60262Y0401)
Adapted PE Grade 6 (60262Y0601)
Adapted PE Grade 6 (60262Y0801)
Adapted PE Grade 7 (60272Y0001)
Adapted PE Grade 7 (60272Y0401)
Adapted PE Grade 7 (60272Y0601)
Adapted PE Grade 7 (60272Y0801)
Adapted PE Grade 8 (60282Y0001)
Adapted PE Grade 8 (60282Y0401)
Adapted PE Grade 8 (60282Y0601)
Adapted PE Grade 8 (60282Y0801)
Adapted PE Kindergarten (60202Z0801)
Advanced Forensics (30205X0804)
Advanced Handbells (56092Y0409)
Advanced Handbells (56092Y0909)
Advanced Manufacturing II (IM125X0000)
Advanced Swimming (60612X0810)
African American Studies 2023-2024
Ag and Social and Economic Well-Being (AY252Y0400)
American History (43112X0000)
American History (9345AX0000)
American History (9345AX0800)
American History 2023-2024
American History Honors (43115X0000)
American History Honors (HS CRED) (43112Y0850)
American History I (9342AX0000)
American History I (9342AX0800)
American History I SI (43042X0070)
American History II (9343AX00AH)
American History II (9343AX08AH)
American History SI (43112X0070)
Animal Behavior Honors (33405X0000)
Animal Science I (AA212X0800)
AP Art History (5A007X0800)
AP Biology (3A007X0000)
AP Biology (3A007X0800)
AP Biology (3A007X0900)
AP Calculus AB (2A007X0000)
AP Calculus AB (2A007X0800)
AP Calculus AB (2A007X0900)
AP Calculus BC (2A017X0000)
AP Calculus BC (2A017X0800)
AP Chemistry (3A017X0900)
AP Chinese Language and Culture (1A027X0800)
AP Comparative Government and Politics (4A007X0800)
AP Computer Science (2A027X0800)
AP English Language and Composition (1A007X0000)
AP English Language and Composition (1A007X0800)
AP English Literature and Composition (1A017X0000)
AP English Literature and Composition (1A017X0800)
AP Environmental Science (3A027X0000)
AP Environmental Science (3A027X0800)
AP European History (4A017X0800)
AP French Language and Culture (1A037X0800)
AP German Language and Culture (1A047X0800)
AP Human Geography (4A027X0800)
AP Japanese Language and Culture (1A067X0800)
AP Macroeconomics (4A037X0000)
AP Macroeconomics (4A037X0800)
AP Microeconomics (4A047X0000)
AP Microeconomics (4A047X0800)
AP Music Theory (5A017X0800)
AP Physics 1: Algebra-Based (3A057X0800)
AP Physics 1: Algebra-Based (3A057X0900)
AP Physics 2: Algebra-Based (3A067X0800)
AP Physics 2: Algebra-Based (3A067X0900)
AP Physics C: Mechanics (3A047X0800)
AP Pilot African American Studies (48005X00AA)
AP Pilot African American Studies (48005X08AA)
AP Precalculus (2A047X0000)
AP Precalculus (2A047X0800)
AP Psychology (4A057X0800)
AP Research (0A007X0800)
AP Seminar (0A017X0800)
AP Spanish Language and Culture (1A087X0000)
AP Spanish Language and Culture (1A087X0800)
AP Spanish Literature and Culture (1A097X0800)
AP Statistics (2A037X0800)
AP Statistics Master Course 2022-2023_1657034311331
